Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
DA Warner,12,12,2,692,100*,69.2,481,143.86,1,8,0,57,21
KL Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,0,49,25
Q de Kock,16,16,1,529,81,35.26,398,132.91,0,4,1,45,25
S Dhawan,16,16,1,521,97*,34.73,384,135.67,0,5,1,64,11
AD Russell,14,13,4,510,80*,56.66,249,204.81,0,4,1,31,52
CH Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,0,45,34
RR Pant,16,16,3,488,78*,37.53,300,162.66,0,3,0,37,27
V Kohli,14,14,0,464,100,33.14,328,141.46,1,2,0,46,13
SS Iyer,16,16,1,463,67,30.86,386,119.94,0,3,0,41,14
JM Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,1,48,18
AB de Villiers,13,13,3,442,82*,44.2,287,154,0,5,0,31,26
SA Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,0,45,10
MS Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,0,22,23
CA Lynn,13,13,0,405,82,31.15,290,139.65,0,4,2,41,22
RG Sharma,15,15,1,405,67,28.92,315,128.57,0,2,0,52,10
HH Pandya,16,15,6,402,91,44.66,210,191.42,0,1,1,28,29
SR Watson,17,17,0,398,96,23.41,312,127.56,0,3,3,42,20
F du Plessis,12,12,1,396,96,36,321,123.36,0,3,0,36,15
AM Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,1,45,9
SK Raina,17,17,1,383,59,23.93,314,121.97,0,3,1,45,9
PA Patel,14,14,0,373,67,26.64,268,139.17,0,2,1,48,10
PP Shaw,16,16,0,353,99,22.06,264,133.71,0,2,1,45,9
MK Pandey,12,11,3,344,83*,43,263,130.79,0,3,0,34,6
N Rana,14,11,1,344,85*,34.4,235,146.38,0,3,1,27,21
SV Samson,12,12,2,342,102*,34.2,230,148.69,1,0,1,28,13
MA Agarwal,13,13,0,332,58,25.53,234,141.88,0,2,1,26,14
SPD Smith,12,10,2,319,73*,39.87,275,116,0,3,0,30,4
JC Buttler,8,8,0,311,89,38.87,205,151.7,0,3,0,38,14
Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,0,21,10
RV Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,1,28,10
AT Rayudu,17,17,5,282,57,23.5,303,93.06,0,1,2,20,7
KA Pollard,16,14,6,279,83,34.87,178,156.74,0,1,0,14,22
KD Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,0,22,14
V Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,0,11,12
MM Ali,11,10,2,220,66,27.5,133,165.41,0,2,0,16,17
DA Miller,10,10,2,213,59*,26.62,164,129.87,0,1,0,19,7
MP Stoinis,10,10,6,211,46*,52.75,156,135.25,0,0,2,14,10
CA Ingram,12,12,2,184,47,18.4,154,119.48,0,0,0,20,5
KH Pandya,16,15,4,183,42,16.63,150,122,0,0,1,18,5
SN Khan,8,5,1,180,67,45,143,125.87,0,1,0,19,4
N Pooran,7,6,0,168,48,28,107,157,0,0,0,9,14
Mandeep Singh,13,12,8,165,33*,41.25,120,137.5,0,0,1,10,4
KM Jadhav,14,12,3,162,58,18,169,95.85,0,1,1,19,3
R Parag,7,5,0,160,50,32,126,126.98,0,1,0,17,5
KS Williamson,9,9,2,156,70*,22.28,130,120,0,1,0,12,5
SP Narine,12,9,1,143,47,17.87,86,166.27,0,0,0,17,9
RA Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,0,13,2
BA Stokes,9,9,3,123,46,20.5,99,124.24,0,0,1,8,4
Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,0,8,7
AR Patel,14,12,6,110,26,18.33,88,125,0,0,1,10,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
